구분,DIA,출근시간,1차 출발시각,1차 출발역,1차기운영,1차 도착시각,1차 도착역,2차 출발시각,2차 출발역,2차기운영,2차 도착시각,2차 도착역,3차 출발시간,3차 출발역,3차기운영,3차 도착시간,3차 도착역,4차 출발시간,4차 출발역,4차기운영,4차 도착시간,4차 도착역,5차 출발시간,5차 출발역,5차기운영,5차 도착시간,5차 도착역,6차 출발시간,6차 출발역,6차기운영,6차 도착시간,6차 도착역,퇴근시간,,계,운전시간,대기시간,편승시간,감시시간,준비시간,정리시간,심야시간
휴평,83,,21:13,답십,5661,23:54,화곡,6:23,방기,1519,7:29,답십,,,,,,,,,,,,,,,,,,,,,7:59,,11:06,4:06,4:00,0:00,0:00,1:30,1:30,7:50
휴평,84,,21:48,답십,5667,23:53,방기,6:28,방기,1521,7:34,답십,,,,,,,,,,,,,,,,,,,,,8:04,,10:10,3:10,4:00,0:00,0:00,1:30,1:30,5:55
휴평,85,,22:01,답십,5669,24:05:00,방기,5:49,방기,1511,7:24,하풍,7:37,하풍,5042,8:06,답십,,,,,,,,,,,,,,,,8:37,,11:05,4:22,3:43,0:00,0:00,1:30,1:30,8:00
휴평,86,,20:01,답십,5649,21:04,답십,22:13,답십,5671,24:06:00,화곡,5:30,화곡,5007,6:16,답십,,,,,,,,,,,,,,,,6:46,,10:43,3:43,4:00,0:00,0:00,1:30,1:30,8:30
휴평,87,,22:19,답십,5177,22:47,하풍,23:00,하풍,5184,23:59,여의,5:30,여의,5002,7:06,답십,,,,,,,,,,,,,,,,7:37,,9:48,3:17,3:31,0:00,0:00,1:30,1:30,6:59
휴평,88,,22:38,답십,5675,24:03:00,애오,5:37,애오,5004,7:24,답십,,,,,,,,,,,,,,,,,,,,,7:54,,9:46,3:12,3:34,0:00,0:00,1:30,1:30,6:48
휴평,89,,22:08,답십,5662,23:56,애오,5:40,애오,5509,7:09,답십,,,,,,,,,,,,,,,,,,,,,7:39,,10:20,3:20,4:00,0:00,0:00,1:30,1:30,6:48
휴평,90,,21:53,답십,5660,24:04:00,군자,5:32,군자,5008,7:44,답십,,,,,,,,,,,,,,,,,,,,,8:14,,10:50,4:23,3:27,0:00,0:00,1:30,1:30,8:00
휴평,91,,21:05,답십,5652,23:41,하풍,5:35,하풍,5014,6:04,답십,6:16,답십,5007,6:45,하풍,7:08,하풍,5032,7:37,답십,,,,,,,,,,,8:08,,11:27,4:27,4:00,0:00,0:00,1:30,1:30,8:00
휴휴,62,,17:25,답십,5621,20:36,답십,6:16,답십,5007,6:43,고기,,,,,,,,,,,,,,,,,,,,,7:43,,7:39,3:39,2:30,0:00,0:00,0:30,1:00,1:28
