구분,DIA,출근시간,1차 출발시각,1차 출발역,1차기운영,1차 도착시각,1차 도착역,2차 출발시각,2차 출발역,2차기운영,2차 도착시각,2차 도착역,3차 출발시간,3차 출발역,3차기운영,3차 도착시간,3차 도착역,4차 출발시간,4차 출발역,4차기운영,4차 도착시간,4차 도착역,5차 출발시간,5차 출발역,5차기운영,5차 도착시간,5차 도착역,퇴근시간,,계,운전시간,대기시간,편승시간,감시시간,준비시간,정리시간,심야시간,,
평평,76,,20:13,영구,5711,23:01,방기,7:49,방기,1545,8:20,영구,9:00,영구,5048,9:30,방기,,,,,,,,,,,10:30,,11:19,3:49,4:00,0:00,0:00,1:30,2:00,5:01,,
평평,77,,19:58,영구,5664,22:03,하풍,22:19,하풍,5206,23:23,영구,7:54,방기,1547,8:25,영구,9:07,영구,5540,9:38,방기,,,,,,10:38,,11:46,4:26,4:00,0:50,0:00,1:30,1:00,6:13,,
평평,78,,20:04,영구,5176,22:07,마천,5:31,마천,5502,7:33,영구,,,,,,,,,,,,,,,,8:04,,11:06,4:06,4:00,0:00,0:00,1:30,1:30,6:36,,
평평,79,,20:07,영구,5179,21:11,하풍,21:19,하풍,5198,22:49,방화,23:03,방화,5737,23:28,영구,7:59,방기,1549,8:30,영구,9:12,영구,5542,9:43,방기,10:43,,11:34,4:14,4:00,0:50,0:00,1:30,1:00,6:19,,
평평,80,,20:19,영구,5668,21:18,영구,23:23,영구,5206,23:49,방화,23:55,방화,5213,24:59:00,군자,5:37,군자,5001,6:03,하풍,6:23,하풍,5022,7:27,영구,7:57,,11:25,4:25,4:00,0:00,0:00,1:30,1:30,8:00,,
평평,81,,20:26,영구,5713,22:44,영구,23:28,영구,5737,24:30:00,마천,24:58:00,상일,1071,25:03:00,고기,7:16,고기,1034,8:20,영구,,,,,,8:50,,11:56,4:56,4:00,0:00,0:00,1:30,1:30,8:00,,
평평,82,,20:51,영구,5184,22:49,마천,23:18,상일,1063,23:23,고기,6:22,고기,1020,6:27,상일,6:45,강동,5515,8:09,영구,,,,,,8:40,,11:20,4:20,4:00,0:00,0:00,1:30,1:30,7:02,,
평평,83,,20:52,영구,5717,23:40,방화,6:55,방기,1527,8:02,답십,8:14,답십,5534,8:52,영구,,,,,,,,,,,9:22,,11:38,4:38,4:00,0:00,0:00,1:30,1:30,6:50,,
평평,84,,21:17,영구,5188,24:08:00,왕십,5:30,왕십,5006,7:03,영구,,,,,,,,,,,,,,,,7:33,,10:46,4:25,3:21,0:00,0:00,1:30,1:30,8:00,,
평평,85,,21:18,영구,5721,23:57,방화,7:12,방기,1531,8:20,답십,8:34,답십,5542,9:12,영구,,,,,,,,,,,9:42,,11:30,4:30,4:00,0:00,0:00,1:30,1:30,7:02,,
평평,86,,21:32,영구,5723,24:18:00,방화,7:21,방기,1533,8:29,답십,8:40,답십,5544,9:17,영구,,,,,,,,,,,9:48,,11:37,4:37,4:00,0:00,0:00,1:30,1:30,7:23,,
평평,87,,21:43,영구,5192,23:44,하풍,23:53,하풍,5214,24:09:00,강동,5:30,강동,5501,7:55,영구,,,,,,,,,,,8:26,,11:12,4:52,3:20,0:00,0:00,1:30,1:30,8:00,,
평평,88,,22:10,영구,5196,22:35,방화,22:43,방화,5735,24:10:00,마천,24:29:00,마천,5706,24:59:00,왕십,5:44,왕십,5003,6:16,하풍,6:45,하풍,5026,7:49,영구,8:20,,10:39,4:55,2:44,0:00,0:00,1:30,1:30,8:00,,
평평,89,,22:08,영구,5197,23:12,하풍,23:29,하풍,5212,24:59:00,방화,7:36,방기,1539,8:44,답십,9:07,답십,552,9:43,영구,,,,,,10:13,,11:41,4:41,4:00,0:00,0:00,1:30,1:30,8:00,,
평평,90,,22:38,영구,5220,23:03,방화,23:13,방화,5207,24:42:00,하풍,5:59,하풍,5018,8:04,영구,,,,,,,,,,,8:35,,10:26,4:10,3:16,0:00,0:00,1:30,1:30,7:51,,
평평,91,,22:45,영구,5690,23:10,방화,23:20,방화,5739,24:47:00,마천,5:44,마천,5504,7:46,영구,,,,,,,,,,,8:17,,10:02,4:05,2:57,0:00,0:00,1:30,1:30,7:44,,
평휴,61,,17:39,영구,5632,19:42,마천,20:11,상일,1055,20:16,고기,5:26,고기,1006,5:31,상일,5:47,강동,5503,7:16,영구,,,,,,7:46,,11:26,4:26,4:00,0:00,0:00,1:30,1:30,4:50,,
